db,company,rowid,legacy_id,supplier,service,data_saida_raw,data_emissao_raw,amount,status,posting_original,issue_original,posting_corrected,issue_corrected,valid_original,recoverable,repair_rule,action,recovered_from_copy,duplicate_flag
banco_empresa.db,universo_eletronica,627,627,CARTÃO RENER,Importado do Histórico,28/12/0203,,2700.0,PAGO,,,2023-12-28,2023-12-28,False,True,year_typo_203->2023;issue=>posting,recover_date,False,False
banco_empresa.db,universo_eletronica,628,628,FORNECEDOR GALAXIOS,Importado do Histórico,28/12/0203,,1500.0,PAGO,,,2023-12-28,2023-12-28,False,True,year_typo_203->2023;issue=>posting,recover_date,False,False
banco_empresa.db,universo_eletronica,629,629,FONECEDOR,Importado do Histórico,28/12/0203,,900.0,PAGO,,,2023-12-28,2023-12-28,False,True,year_typo_203->2023;issue=>posting,recover_date,False,False
banco_empresa.db,universo_eletronica,670,670,FORNECEDOR MEMBRANA,Importado do Histórico,19/01/0204,,350.0,PAGO,,,2024-01-19,2024-01-19,False,True,year_typo_204->2024;issue=>posting,recover_date,False,False
banco_empresa.db,universo_eletronica,927,927,FORNECEDOR INVERTER PRO,Importado do Histórico,20/05/0204,,2880.0,PAGO,,,2024-05-20,2024-05-20,False,True,year_typo_204->2024;issue=>posting,recover_date,False,False
banco_empresa.db,universo_eletronica,1152,1152,RETIRADA DIMAS,Importado do Histórico,12/09/0204,,4500.0,PAGO,,,2024-09-12,2024-09-12,False,True,year_typo_204->2024;issue=>posting,recover_date,False,False
banco_empresa.db,universo_eletronica,1214,1214,FORNECEDOR LAU,Importado do Histórico,14/10/0204,,300.0,PAGO,,,2024-10-14,2024-10-14,False,True,year_typo_204->2024;issue=>posting,recover_date,False,False
banco_empresa.db,universo_eletronica,1612,1612,PRONAMP,Importado do Histórico,30/12/0205,,5724.69,PAGO,,,2025-12-30,2025-12-30,False,True,year_typo_205->2025;issue=>posting,recover_date,False,False
banco_empresa.db,universo_eletronica,1751,1751,COMPESA,Importado do Histórico,21/10/0205,,136.11,PAGO,,,2025-10-21,2025-10-21,False,True,year_typo_205->2025;issue=>posting,recover_date,False,False
banco_empresa.db,universo_eletronica,1752,1752,FOR. AZUL.,Importado do Histórico,21/10/0205,,650.44,PAGO,,,2025-10-21,2025-10-21,False,True,year_typo_205->2025;issue=>posting,recover_date,False,False
banco_automacao.db,universo_automacao,10,10,KALINE,Importado,---,,450.0,PAGO,,,2025-07-02,2025-07-02,False,True,date_from_matching_expense_copy;issue=>posting,recover_date,True,True
banco_automacao.db,universo_automacao,93,93,CARLOS,Importado,10/07/0205,,160.0,PAGO,,,2025-07-10,2025-07-10,False,True,year_typo_205->2025;issue=>posting,recover_date,False,False
banco_automacao.db,universo_automacao,351,351,ABRE ESTAGIO,Importado,28/04/0205,,1068.2,PAGO,,,2025-04-28,2025-04-28,False,True,year_typo_205->2025;issue=>posting,recover_date,False,False
banco_automacao.db,universo_automacao,352,352,AIRBOM,Importado,28/04/0205,,495.0,PAGO,,,2025-04-28,2025-04-28,False,True,year_typo_205->2025;issue=>posting,recover_date,False,False
banco_automacao.db,universo_automacao,353,353,FORNECEDOR CAPACITOR CFW11,Importado,28/04/0205,,5005.8,PAGO,,,2025-04-28,2025-04-28,False,True,year_typo_205->2025;issue=>posting,recover_date,False,False
banco_automacao.db,universo_automacao,354,354,SORNECEDOR,Importado,28/04/0205,,700.0,PAGO,,,2025-04-28,2025-04-28,False,True,year_typo_205->2025;issue=>posting,recover_date,False,False
banco_automacao.db,universo_automacao,355,355,COMBUSTIVEL ALLAN,Importado,28/04/0205,,250.0,PAGO,,,2025-04-28,2025-04-28,False,True,year_typo_205->2025;issue=>posting,recover_date,False,False
banco_automacao.db,universo_automacao,356,356,JEFESON CARTÃO,Importado,28/04/0205,,300.0,PAGO,,,2025-04-28,2025-04-28,False,True,year_typo_205->2025;issue=>posting,recover_date,False,False
banco_automacao.db,universo_automacao,544,544,FORNECEDOR,Importado,18/09/0205,,328.76,PAGO,,,2025-09-18,2025-09-18,False,True,year_typo_205->2025;issue=>posting,recover_date,False,False
banco_automacao.db,universo_automacao,545,545,FOR. ELEKTRA,Importado,18/09/0205,,1123.21,PAGO,,,2025-09-18,2025-09-18,False,True,year_typo_205->2025;issue=>posting,recover_date,False,False
banco_automacao.db,universo_automacao,546,546,FOR INSTAGRAM,Importado,18/09/0205,,300.0,PAGO,,,2025-09-18,2025-09-18,False,True,year_typo_205->2025;issue=>posting,recover_date,False,False
banco_automacao.db,universo_automacao,547,547,JOSENILDO CORURIPE,Importado,18/09/0205,,2000.0,PAGO,,,2025-09-18,2025-09-18,False,True,year_typo_205->2025;issue=>posting,recover_date,False,False
banco_automacao.db,universo_automacao,548,548,RETIRADA EDMILSON,Importado,18/09/0205,,5000.0,PAGO,,,2025-09-18,2025-09-18,False,True,year_typo_205->2025;issue=>posting,recover_date,False,False
